target,split,model,MAE,MSE,RMSE,MAPE
daily_revenue,1,Naive,4535.438333333333,31406327.515676655,5604.134858805296,13.968581868143051
daily_revenue,1,SeasonalNaive,4321.764,25458688.601573337,5045.660373189355,12.576723770828396
daily_revenue,1,Holt,2906.956310119384,13517553.541724809,3676.6225726507214,8.5764393933614
daily_revenue,1,ETS,3078.353669727906,14120270.435177768,3757.694829969268,8.965937359474193
daily_revenue,1,ARIMA,3048.944988663799,13742256.542868039,3707.0549689568993,8.877159026540026
daily_revenue,1,SARIMA,3031.8201267345235,14557540.961480122,3815.4345704624684,9.010396218554764
daily_revenue,2,Naive,2761.412666666665,10742908.142106658,3277.6375855342303,8.23325752816106
daily_revenue,2,SeasonalNaive,4535.319333333333,28758420.87016,5362.687840081688,13.2057107420037
daily_revenue,2,Holt,2578.337320541783,9381373.501669096,3062.9027901108934,7.5991836623988105
daily_revenue,2,ETS,2477.053610489081,8783344.021539386,2963.670700590635,7.223953475962422
daily_revenue,2,ARIMA,2457.702887369609,8635861.550760342,2938.683642510766,7.125872463083898
daily_revenue,2,SARIMA,2588.4444620141303,9250909.907393163,3041.5308493245902,7.611210301616178
daily_revenue,3,Naive,3129.971,17446276.492130004,4176.874009606946,8.618161411112348
daily_revenue,3,SeasonalNaive,3370.122666666667,15523288.305013334,3939.9604446000894,10.215625168074247
daily_revenue,3,Holt,2836.715012199996,11615353.341666184,3408.130476033185,8.433629096266431
daily_revenue,3,ETS,2868.5016209508385,11589361.398285694,3404.3151144225317,8.556353639762298
daily_revenue,3,ARIMA,2877.864417690121,11886753.449731726,3447.717135980231,8.581384136661912
daily_revenue,3,SARIMA,2918.5790691179673,12658977.173800003,3557.945639522898,8.770904354777977
daily_orders,1,Naive,30.166666666666668,1100.3,33.17077026540083,23.37155181168074
daily_orders,1,SeasonalNaive,18.6,459.46666666666664,21.435173586109972,14.005905493028465
daily_orders,1,Holt,10.893414588385292,194.4267809105599,13.943700402352308,8.319470416571624
daily_orders,1,ETS,11.305254118400637,204.04927895363377,14.284581861350851,8.63539822615124
daily_orders,1,ARIMA,11.190433194497777,196.19803238041044,14.00707079943592,8.487883694281741
daily_orders,1,SARIMA,11.378460917158804,198.2184792207615,14.079008460142408,8.643005740676351
daily_orders,2,Naive,9.133333333333333,133.93333333333334,11.572956983128096,6.7719581588555595
daily_orders,2,SeasonalNaive,16.9,415.76666666666665,20.390357198113687,12.26869311328738
daily_orders,2,Holt,8.07554398568629,120.28767626214221,10.967573854875207,5.803230916163605
daily_orders,2,ETS,8.374739910792782,123.32592577574844,11.105220654077453,6.020745558740924
daily_orders,2,ARIMA,8.205736456953984,121.69972731917251,11.031759937524589,5.854750292120211
daily_orders,2,SARIMA,8.429596004487378,124.84589633498997,11.17344603669745,6.029514031253768
daily_orders,3,Naive,12.2,252.33333333333334,15.88500340992514,8.505254589044933
daily_orders,3,SeasonalNaive,13.3,244.43333333333334,15.634363860846188,10.142755685259159
daily_orders,3,Holt,10.32531778889925,145.94230097244656,12.080658134905008,7.687341787517704
daily_orders,3,ETS,10.3168626565115,145.5001517817489,12.062344373369088,7.685117326992984
daily_orders,3,ARIMA,9.996987256941642,140.02668242788496,11.833287050852986,7.39447220539122
daily_orders,3,SARIMA,9.77940878861952,135.20818587910728,11.62790548117361,7.250953298614522
