target,split,model,MAE,MSE,RMSE,MAPE
daily_revenue,1,LinearRegression,2970.7011735030824,14479221.675841166,3805.1572471898144,8.857510768288277
daily_revenue,1,Ridge,2969.774302174694,14468276.93790272,3803.7188300270986,8.853859552612901
daily_revenue,1,Lasso,2970.635975157977,14478123.32989773,3805.012921120995,8.857266845394408
daily_revenue,1,RandomForest,3015.0371335518566,13589604.187385326,3686.4080332195085,8.890806915089703
daily_revenue,1,XGBoost,3779.3696041666667,21610608.622529946,4648.721181414298,11.297066259786659
daily_revenue,1,LightGBM,3776.5302705889776,21779559.46613408,4666.857557943469,10.995405161185078
daily_revenue,2,LinearRegression,2550.1433940612196,8704853.238969468,2950.3988271027815,7.453796648534437
daily_revenue,2,Ridge,2548.534462937955,8698930.529419634,2949.39494293654,7.448541380955744
daily_revenue,2,Lasso,2550.0894504863154,8704658.189699123,2950.365772188107,7.453591379476619
daily_revenue,2,RandomForest,2461.161811076844,8728113.04025717,2954.3380037255674,7.163153370160706
daily_revenue,2,XGBoost,3351.993507812499,14984305.478328293,3870.9566619026223,9.803897982116041
daily_revenue,2,LightGBM,2341.2438241612676,8911223.698418804,2985.1672814800186,6.716616842702979
daily_revenue,3,LinearRegression,2981.1221358587886,12903224.254725285,3592.105824544328,8.999096707197099
daily_revenue,3,Ridge,2981.606270016821,12908738.820577925,3592.8733376752825,9.000636936138177
daily_revenue,3,Lasso,2981.202808905494,12904044.262534328,3592.2199629942384,8.99935850707859
daily_revenue,3,RandomForest,3085.3156882975936,13778377.85378546,3711.9237402976723,9.395601822003814
daily_revenue,3,XGBoost,2930.4358489583333,14270607.807206303,3777.645802243284,8.9023965531487
daily_revenue,3,LightGBM,2821.259542312185,11830579.087185273,3439.5608858087207,8.421745405606924
daily_orders,1,LinearRegression,11.326765379052828,227.8941879607756,15.096164677187899,8.804992931677587
daily_orders,1,Ridge,11.328324037374548,227.6463586985227,15.08795409253762,8.805640816669747
daily_orders,1,Lasso,11.318138029073134,223.04621084152933,14.934731696335536,8.784514338883016
daily_orders,1,RandomForest,10.806291275918658,212.9483984449576,14.59275157209762,8.41007075135515
daily_orders,1,XGBoost,13.838772837320963,337.24078647111116,18.364116817073214,10.733893716127874
daily_orders,1,LightGBM,12.341762060474952,250.237378768942,15.818893095565883,9.451398933360597
daily_orders,2,LinearRegression,8.471386455970345,112.54710638048205,10.608822101462634,6.198205013182448
daily_orders,2,Ridge,8.467136303687342,112.47669970952933,10.605503274693254,6.194692872871506
daily_orders,2,Lasso,8.372471599212478,111.45203024840248,10.557084363042785,6.113810610305061
daily_orders,2,RandomForest,8.893787505073385,122.78989450643203,11.081060170689087,6.582835680455235
daily_orders,2,XGBoost,10.620902760823567,179.14849251218644,13.38463643556247,7.9402409622664445
daily_orders,2,LightGBM,8.511064293234583,127.79943052592859,11.304841021700774,6.151550614770061
daily_orders,3,LinearRegression,10.585631557183442,150.04376046368768,12.249235097086173,7.960705259346852
daily_orders,3,Ridge,10.586625105874832,150.0543733994079,12.24966829752577,7.961871701856846
daily_orders,3,Lasso,10.606237369224717,150.01836868520368,12.248198589392796,7.9801465594991114
daily_orders,3,RandomForest,11.432692122839656,177.47628904771682,13.322022708572328,8.687533559877062
daily_orders,3,XGBoost,11.45989735921224,208.2690390843549,14.431529339760042,8.599707230966917
daily_orders,3,LightGBM,10.2146483475135,152.5953466533376,12.352948905153683,7.6101643548198785
